moviechrono_id;"movie,""chapter"",""character"",""dialog"""
143;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Remus Lupin"",""Snape. He'll be fine, Molly.  But that's Dark Magic.  The damage is done."""
144;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Rubeus Hagrid"",""Someone else is back."""
145;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Kingsley Shacklebolt"",""The last words Albus Dumbledore spoke to the pair of us?"""
146;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Remus Lupin"",""'Harry is the best hope we have. Trust him.'"""
147;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Kingsley Shacklebolt"",""What gave you away?"""
148;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Harry Potter"",""Hedwig -- I think.  She was trying to protect me --"""
149;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Ron Weasley"",""Hey ya -- Well... thanks."""
150;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Nymphadora Tonks"",""Deserves that.  Brilliant, he was. Wouldn't be standing here without him."""
151;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Hermione Granger"",""Really?"""
152;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Ron Weasley"",""Always the tone of surprise."""
153;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Arthur Weasley"",""Are we the last?  Where's George?"""
154;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Arthur Weasley"",""Remus.  Where's my son?"""
155;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Fred Weasley"",""How do you feel, Georgie?"""
156;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""George Weasley"",""Saint-like."""
157;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Fred Weasley"",""Come again?"""
158;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""George Weasley"",""Saint-like... You see, I'm holy. Holey, Fred, geddit?"""
159;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Fred Weasley"",""With the whole wide world of ear- related humor at your disposal, you go for holey?  Pathetic."""
160;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""George Weasley"",""Reckon I'm still better-looking than you.  Better-looking than Bill, that's for sure."""
