moviechrono_id;"movie,""chapter"",""character"",""dialog""";;;
179;"Harry Potter and the Order of the Phoenix,""The Ministry of Magic"",""Arthur Weasley"",""Good, good, not very many Muggles.""";;;
180;"Harry Potter and the Order of the Phoenix,""The Ministry of Magic"",""Arthur Weasley"",""Well, come on Harry, in we go.""";;;
181;"Harry Potter and the Order of the Phoenix,""The Ministry of Magic"",""Arthur Weasley"",""I do love using the Fellytone! Now, let's see, what's the number again...""";;;
182;"Harry Potter and the Order of the Phoenix,""The Ministry of Magic"",""Witch"",""Welcome to the Ministry of Magic. Please state your business.""";;;
183;"Harry Potter and the Order of the Phoenix,""The Ministry of Magic"",""Arthur Weasley"",""Harry Potter, disciplinary hearing.""";;;
184;"Harry Potter and the Order of the Phoenix,""The Ministry of Magic"",""Witch"",""Pleas stand by.""";;;
185;"Harry Potter and the Order of the Phoenix,""The Ministry of Magic"",""Arthur Weasley"",""Keep close, Harry!""";;;
186;"Harry Potter and the Order of the Phoenix,""The Ministry of Magic"",""Arthur Weasley"",""Ah, Perkins, good morn-""";;;
187;"Harry Potter and the Order of the Phoenix,""The Ministry of Magic"",""Perkins"",""Arthur, they've changed the time of Potter's hearing.""";;;
188;"Harry Potter and the Order of the Phoenix,""The Ministry of Magic"",""Arthur Weasley"",""Blast! Dumbledore thought they might try that.""";;;
189;"Harry Potter and the Order of the Phoenix,""The Ministry of Magic"",""Perkins"",""It started at eight!""";;;
190;"Harry Potter and the Order of the Phoenix,""The Ministry of Magic"",""Arthur Weasley"",""Good lord, that was five minutes ago! Come on, Harry!""";;;
191;"Harry Potter and the Order of the Phoenix,""The Ministry of Magic"",""Witch"",""Department of Mysteries.""";;;
192;"Harry Potter and the Order of the Phoenix,""The Ministry of Magic"",""Harry Potter"",""Department of Mysteries?""";;;
193;"Harry Potter and the Order of the Phoenix,""The Ministry of Magic"",""Arthur Weasley"",""Yep, I've got no idea what they get up to in here, it's top secret.""";;;
194;"Harry Potter and the Order of the Phoenix,""The Ministry of Magic"",""Arthur Weasley"",""Come on, Harry!""";;;
195;"Harry Potter and the Order of the Phoenix,""The Ministry of Magic"",""Harry Potter"",""I've been there before...""";;;
196;"Harry Potter and the Order of the Phoenix,""The Ministry of Magic"",""Arthur Weasley"",""Now, Harry, I find that highly unlikely...""";;;
197;"Harry Potter and the Order of the Phoenix,""The Ministry of Magic"",""Arthur Weasley"",""There you are, Harry, in you go...good luck...""";;;
198;"Harry Potter and the Order of the Phoenix,""The Hearing"",""Cornelius Fudge"",""You're late.""";;;
199;"Harry Potter and the Order of the Phoenix,""The Hearing"",""Harry Potter"",""Er...sorry.""";;;
200;"Harry Potter and the Order of the Phoenix,""The Hearing"",""Cornelius Fudge"",""No matter, the accused will take his seat.""";;;
201;"Harry Potter and the Order of the Phoenix,""The Hearing"",""Cornelius Fudge"",""Very well, we are ready to begin.""";;;
202;"Harry Potter and the Order of the Phoenix,""The Hearing"",""Albus Dumbledore"",""Witness for the Defence, Albus Percival Wulfric Brian Dumbledore.""";;;
203;"Harry Potter and the Order of the Phoenix,""The Hearing"",""Cornelius Fudge"",""Ah...you...er...got our message that the time had changed, did you?""";;;
204;"Harry Potter and the Order of the Phoenix,""The Hearing"",""Cornelius Fudge"",""Well. The...ah...charges.""";;;
205;"Harry Potter and the Order of the Phoenix,""The Hearing"",""Cornelius Fudge"",""The charges against the accused shall now be read into the record: That the accused did with deliberation and fore-knowledge of the illegality of his actions, produce a patronus charm in full sight of a Muggle.""";;;
206;"Harry Potter and the Order of the Phoenix,""The Hearing"",""Harry Potter"",""Yes.""";;;
207;"Harry Potter and the Order of the Phoenix,""The Hearing"",""Harry Potter"",""Yes, but-""";;;
208;"Harry Potter and the Order of the Phoenix,""The Hearing"",""Cornelius Fudge"",""Within full sight of a Muggle?""";;;
209;"Harry Potter and the Order of the Phoenix,""The Hearing"",""Harry Potter"",""Yes, but-""";;;
210;"Harry Potter and the Order of the Phoenix,""The Hearing"",""Susan Bones"",""You produced a Patronus? A fully- formed Patronus, with a clearly- defined shape?""";;;
211;"Harry Potter and the Order of the Phoenix,""The Hearing"",""Harry Potter"",""Yes.""";;;
212;"Harry Potter and the Order of the Phoenix,""The Hearing"",""Susan Bones"",""That is most remarkable, Mr. Potter.""";;;
213;"Harry Potter and the Order of the Phoenix,""The Hearing"",""Cornelius Fudge"",""It doesn't matter how impressive it was!""";;;
214;"Harry Potter and the Order of the Phoenix,""The Hearing"",""Harry Potter"",""But I did it because of the Dementors!""";;;
215;"Harry Potter and the Order of the Phoenix,""The Hearing"",""Susan Bones"",""What do you mean?""";;;
216;"Harry Potter and the Order of the Phoenix,""The Hearing"",""Harry Potter"",""My cousin and I were attacked by Dementors. That's why I had to use the Patronus, to drive them away.""";;;
217;"Harry Potter and the Order of the Phoenix,""The Hearing"",""Cornelius Fudge"",""Ah, yes, yes, another cock-and-bull story.""";;;
218;"Harry Potter and the Order of the Phoenix,""The Hearing"",""Susan Bones"",""Dementors in Little Whinging?""";;;
