moviechrono_id;"movie,""chapter"",""character"",""dialog"""
160;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Harry Potter"",""Good.  Bad.  Speaking of which..."""
161;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ron Weasley"",""Is it just me?  Or do Draco and mummy look like two people who don't want to be followed?"""
162;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ron Weasley"",""What're they playing at?"""
163;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Harry Potter"",""Dunno.  Let's get closer."""
164;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ron Weasley"",""Hey.  Where's Hermione?"""
165;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ron Weasley"",""Harry, where is she?"""
166;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Harry Potter"",""I don't know.  I'm turned around."""
167;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ron Weasley"",""Bloody hell."""
168;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Hermione Granger"",""Sorry."""
169;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Harry Potter"",""What just happened?"""
170;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Hermione Granger"",""I don't know."""
171;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Luna Lovegood"",""Quibbler...?  Quibbler...?"""
172;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Luna Lovegood"",""There's an article on Wrackspurts this month.  Quibbler...?"""
173;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Luna Lovegood"",""He's lovely.  They've been known to sing on Boxing Day, you know. Quibbler?"""
174;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ginny Weasley"",""Please.  What's a Wrackspurt?"""
175;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Luna Lovegood"",""They're invisible creatures that float in through your ears and make your brain go fuzzy. Quibbler?  Quibbler?"""
176;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Harry Potter"",""Don't you see, it was a ceremony. An initiation."""
177;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Hermione Granger"",""Stop, Harry, I know where you're going with this --"""
178;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Harry Potter"",""It's happened.  He's one of them."""
179;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ron Weasley"",""One of what?"""
180;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Hermione Granger"",""Harry is under the impression that Draco Malfoy is now a Death Eater."""
181;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ron Weasley"",""You're barking.  What would You- Know-Who want with a sod like Malfoy?"""
182;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Harry Potter"",""So what's he doing in Borgin and Burke's?  Browsing for furniture?"""
183;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ron Weasley"",""It's a creepy shop.  He's a creepy bloke."""
